text:Advise without permission:give the police that ip address. Advise with permission:	labels:I wonder if you can give the police that ip address.	episode_done:True
text:Advise without permission:I do have some advice that has helped me. Advise with permission:	labels:Finding additional support from a trained professional whom you feel comfortable with could be the best way to get the help that you need.	episode_done:True
text:Advise without permission:If you don't think you could talk about your problems with someone you know, maybe a therapist. Advise with permission:	labels:If you are not comfortable discussing this with your therapist, this may be something to take into consideration and worthy of thinking about  why you are not comfortable speaking to the therapist.	episode_done:True
text:Advise without permission:You could also try rubbing your thumb up and down the inside of your forearm or on your palm. Advise with permission:	labels:I wonder if you can also try rubbing your thumb up and down the inside of your forearm or on your palm.	episode_done:True
text:Advise without permission:start small and eventually you will be able to start seeing yourself in all that which leads to being able to talk about yourself. Advise with permission:	labels:Maybe it is important to start small and eventually you will be able to start seeing yourself in all that which leads to being able to talk about yourself.	episode_done:True
text:Advise without permission:I think you should talk to him about that. Advise with permission:	labels:I wonder if you can talk to him about that.	episode_done:True
text:Advise without permission:I think you should call your doctors office and ask because these thing might be specific from office to office. Advise with permission:	labels:I need you to either talk to me about what's happening, or please go see a doctor.	episode_done:True
text:Advise without permission:try getting a full body massage. Advise with permission:	labels:It may be important to try getting a full body massage.	episode_done:True
text:Advise without permission:Real talk you should speak with a counselor or psychiatrist to address any underlying cause. Advise with permission:	labels:It can be helpful to address this big "elephant in the room" and talk to your therapist about this.	episode_done:True
text:Advise without permission:take some time to settle down, eat a box of ice cream if it makes you feel better. Advise with permission:	labels:An option would be to take some time to settle down, eat a box of ice cream if it makes you feel better.	episode_done:True
text:Advise without permission:try to get a job and save up every penny you can if you don't have bills to pay right now. Advise with permission:	labels:I would encourage you to try to get a job and save up every penny you can if you don't have bills to pay right now.	episode_done:True
text:Advise without permission:let them ease your fears. Advise with permission:	labels:Maybe it is important to let them ease your fears.	episode_done:True
text:Advise without permission:Please, instead contact someone who can help you through this process, a therapist or just a the suicide line (whatever it is in your country). Advise with permission:	labels:A Life Coach or professional therapist could help to guide you through these emotions and refer you to additional professional help if needed.	episode_done:True
text:Advise without permission:share your feelings. Advise with permission:	labels:I would encourage you to share your feelings.	episode_done:True
text:Advise without permission:try to spend time doing things you enjoy - not things you used to enjoy which have since lost what made them fun but spend time doing your best to enjoy yourself and always try to find ways to give meaning to your life so that you have something to pull yourself away from the dark thoughts Advise with permission:	labels:It maybe helpful to try to spend time doing things you enjoy - not things you used to enjoy which have since lost what made them fun but spend time doing your best to enjoy yourself and always try to find ways to give meaning to your life so that you have something to pull yourself away from the dark thoughts	episode_done:True
text:Advise without permission:wait until you’re over 40. Advise with permission:	labels:It may be important to wait until you’re over 40.	episode_done:True
text:Advise without permission:keep your eyes open. Advise with permission:	labels:I encourage you to keep your eyes open.	episode_done:True
text:Advise without permission:punch something --- not a hard surface, if you do not want to actually hurt your hands. Advise with permission:	labels:It would be a good idea to punch something --- not a hard surface, if you do not want to actually hurt your hands.	episode_done:True
text:Advise without permission:If you have kids already, try to get her to go to counseling with you. Advise with permission:	labels:If it is possible, see if he would be willing to go to a counselor with you.	episode_done:True
text:Advise without permission:try doing new things first or old once that you haven’t done in a while. Advise with permission:	labels:It maybe helpful to try doing new things first or old once that you haven’t done in a while.	episode_done:True
text:Advise without permission:take some time, consider what you really want to do and only do anything when you're sure of what the consequences will be. Advise with permission:	labels:Maybe it is important to take some time, consider what you really want to do and only do anything when you're sure of what the consequences will be.	episode_done:True
text:Advise without permission:find the strength within yourself. Advise with permission:	labels:It may be important to find the strength within yourself.	episode_done:True
text:Advise without permission:pm me, ill talk to you, i cant promise that i can magicly fix you. Advise with permission:	labels:I would encourage you to pm me, ill talk to you, i cant promise that i can magicly fix you.	episode_done:True
text:Advise without permission:talk with us, open up more. Advise with permission:	labels:An option would be to talk with us, open up more.	episode_done:True
text:Advise without permission:keep water all the time. Advise with permission:	labels:It maybe helpful to keep water all the time.	episode_done:True
text:Advise without permission:Go to therapy and try to join a club of some sort. Advise with permission:	labels:I encourage you to meet with a therapist and ask them how they might be able to help you.	episode_done:True
text:Advise without permission:Maybe you could look into it and get your mom interested. Advise with permission:	labels:Maybe it is important to look into it and get your mom interested.	episode_done:True
text:Advise without permission:Also, if you depression is really that bad you could start going to a psychiatrist, although I hate them, medication could cure and treat your depression. Advise with permission:	labels:So, don't be surprised if your primary care doctor offers to put you on an anti-depressant if they diagnose you with depression.	episode_done:True
text:Advise without permission:believe me honesty is the best policy and he will appreciate you being honest with him and letting him know how you feel currently. Advise with permission:	labels:I encourage you to believe me honesty is the best policy and he will appreciate you being honest with him and letting him know how you feel currently.	episode_done:True
text:Advise without permission:go on walks. Advise with permission:	labels:I wonder if you can go on walks.	episode_done:True
text:Advise without permission:Sure, try to do better in the future but forgive yourself for what is already done. Advise with permission:	labels:It's time to put your past mistakes away on the shelf knowing that you've learned from them and are a better person now.	episode_done:True
text:Advise without permission:You shouldn't feel guilty over who you want to date. Advise with permission:	labels:You may want ton't feel guilty over who you want to date.	episode_done:True
text:Advise without permission:give yourself some time and figure out what you should do. Advise with permission:	labels:It maybe helpful to give yourself some time and figure out what you should do.	episode_done:True
text:Advise without permission:try not to think of it as below you, times can be tough for the best of us. Advise with permission:	labels:I encourage you to try not to think of it as below you, times can be tough for the best of us.	episode_done:True
text:Advise without permission:If you can find it in your area, I recommend getting some therapy for PTSD. Advise with permission:	labels:If this is the case I strongly recommend individual therapy to begin working through some of these issues.	episode_done:True
text:Advise without permission:rehome your cats if you can't take care of them. Advise with permission:	labels:You may want to rehome your cats if you can't take care of them.	episode_done:True
text:Advise without permission:let life happen. Advise with permission:	labels:I encourage you to let life happen.	episode_done:True
text:Advise without permission:You should seek out help. Advise with permission:	labels:Perhaps you can seek out help.	episode_done:True
text:Advise without permission:Showing her that you will always be her friend no matter her mental state will probably be comforting. Advise with permission:	labels:Additionally, talking to close or compassionate family and friends is always good.	episode_done:True
text:Advise without permission:Good night, try to get some sleep. Advise with permission:	labels:I would encourage you to look up "sleepy hygiene" and try to make your bedtime rituals as relaxing as possible.	episode_done:True
text:Advise without permission:You can always carry on CS along side your other subject . Advise with permission:	labels:Perhaps you can always carry on CS along side your other subject .	episode_done:True
text:Advise without permission:You need to try to change your mindset, talking about problems is very human and you're not burdening anyone by telling them how you feel! Advise with permission:	labels:Maybe it is important to try to change your mindset, talking about problems is very human and you're not burdening anyone by telling them how you feel!	episode_done:True
text:Advise without permission:go out and try to do new things. Advise with permission:	labels:I would encourage you to go out and try to do new things.	episode_done:True
text:Advise without permission:You should probably be talking with a professional about all of this. Advise with permission:	labels:You may want to probably be talking with a professional about all of this.	episode_done:True
text:Advise without permission:watch youtube while you wait or even people watch. Advise with permission:	labels:It would be a good idea to watch youtube while you wait or even people watch.	episode_done:True
text:Advise without permission:If will be better if you stop thinking about relationship and try make some good friends and focus on improving yourself. Advise with permission:	labels:Give yourself some credit for being awesome and tell yourself you can build new friendships.	episode_done:True
text:Advise without permission:You could also try losing yourself in your mind if that makes sense-creating fantasy stories in your head about faraway kingdoms and stuff. Advise with permission:	labels:Maybe it is important to also try losing yourself in your mind if that makes sense-creating fantasy stories in your head about faraway kingdoms and stuff.	episode_done:True
text:Advise without permission:put the phone in plain sight and say what you need to say. Advise with permission:	labels:Perhaps you can put the phone in plain sight and say what you need to say.	episode_done:True
text:Advise without permission:I’d recommend you seek counseling, he was still human. Advise with permission:	labels:I would highly encourage pre-marital counseling to explore these things and individual counseling for himself to work on fears and anxieties.	episode_done:True
text:Advise without permission:Your friends will help you, let them know how much you are struggling. Advise with permission:	labels:I would also recommend that you seek support from loved ones.	episode_done:True
text:Advise without permission:Be friends. Advise with permission:	labels:Additionally, talking to close or compassionate family and friends is always good.	episode_done:True
text:Advise without permission:think about how often we regret things we've done in the past. Advise with permission:	labels:An option would be to think about how often we regret things we've done in the past.	episode_done:True
text:Advise without permission:You shouldnt blame them....since you should be maturing to where you depend less on them since you are already 16. Advise with permission:	labels:Perhaps you cannt blame them....since you should be maturing to where you depend less on them since you are already 16.	episode_done:True
text:Advise without permission:do something small for a stranger every day. Advise with permission:	labels:I wonder if you can do something small for a stranger every day.	episode_done:True
text:Advise without permission:remember your self worth. Advise with permission:	labels:You may want to remember your self worth.	episode_done:True
text:Advise without permission:try to get rid of that bottle of rum. Advise with permission:	labels:Perhaps you can try to get rid of that bottle of rum.	episode_done:True
text:Advise without permission:try not to sleep more than 10h. Advise with permission:	labels:I encourage you to try not to sleep more than 10h.	episode_done:True
text:Advise without permission:check with your landlord and tell them exactly what's happening. Advise with permission:	labels:I would encourage you to check with your landlord and tell them exactly what's happening.	episode_done:True
text:Advise without permission:keep the hope for better days and maybe they will come. Advise with permission:	labels:Maybe it is important to keep the hope for better days and maybe they will come.	episode_done:True
text:Advise without permission:I think you should call your doctors office and ask because these thing might be specific from office to office. Advise with permission:	labels:Maybe it is important to call your doctors office and ask because these thing might be specific from office to office.	episode_done:True
text:Advise without permission:You could also consider therapy. Advise with permission:	labels:It may also be helpful to discuss these ideas with a local therapist.	episode_done:True
text:Advise without permission:concentrate on you and find a path you want to follow. Advise with permission:	labels:I would encourage you to concentrate on you and find a path you want to follow.	episode_done:True
text:Advise without permission:support your sister and try to get everyone into counselling, even if it’s not affordable, in situations like this there are at least a ton of free or affordable options for kids under 18. Advise with permission:	labels:It maybe helpful to support your sister and try to get everyone into counselling, even if it’s not affordable, in situations like this there are at least a ton of free or affordable options for kids under 18.	episode_done:True
text:Advise without permission:If this is going to traumatize you then you really need to seek help so you can learn to move past this issue or You will continue to see this as the reason for EVERY failure life will throw at you. Advise with permission:	labels:In a scenario where you doubt if you should tell him about this or that, as another counselor suggested, out of fear of any form of abuse or retaliation, those would be serious enough to show you this could never truly work.	episode_done:True
text:Advise without permission:try and have some fun and remember why you're living, because sometimes school takes that away for me after it gets to a certain level of stress. Advise with permission:	labels:Maybe it is important to try and have some fun and remember why you're living, because sometimes school takes that away for me after it gets to a certain level of stress.	episode_done:True
text:Advise without permission:try to focus on the alternative things you can do now. Advise with permission:	labels:An option would be to try to focus on the alternative things you can do now.	episode_done:True
text:Advise without permission:find what makes you happy and live a good life. Advise with permission:	labels:Perhaps you can find what makes you happy and live a good life.	episode_done:True
text:Advise without permission:You need to find a counsellor you can trust, which definitely makes a huge difference. Advise with permission:	labels:She might really appreciate it if you also let her know that regaining her trust is really important to you.	episode_done:True
text:Advise without permission:It surely won't harm anybody, if you see a doctor. Advise with permission:	labels:It doesn't hurt to get checked out.	episode_done:True
text:Advise without permission:Be patient with yourself. Advise with permission:	labels:It's important that you are patient with yourself and tolerant of your discomfort.	episode_done:True
text:Advise without permission:go to google and search for a singles hangout for your city. Advise with permission:	labels:I would encourage you to go to google and search for a singles hangout for your city.	episode_done:True
text:Advise without permission:Actual physical panic symptoms are definitely something to share with your doctor/psychologist ASAP. Advise with permission:	labels:Talking to your physician is always a good place to start; your physician can tell you if there are organic influences causing your anxiety that may be out of your control.	episode_done:True
text:Advise without permission:thank you but please show this to them if you do it you will do a service to all the people who respect quarantine Advise with permission:	labels:I would encourage you to thank you but please show this to them if you do it you will do a service to all the people who respect quarantine	episode_done:True
text:Advise without permission:You should probably speak to a careers adviser (if you have one in your school) or speak to people in the CS field you might know, they should give you the advice you need. Advise with permission:	labels:Another idea is to chat with a counselor, if you are interested.	episode_done:True
text:Advise without permission:keep seeing different doctors until you find one who will take you seriously and not act like an ass to you. Advise with permission:	labels:Perhaps you can keep seeing different doctors until you find one who will take you seriously and not act like an ass to you.	episode_done:True
text:Advise without permission:try to extend that joy and let them be excited. Advise with permission:	labels:I would encourage you to try to extend that joy and let them be excited.	episode_done:True
text:Advise without permission:You should never feel bad about taking time away to help yourself! Advise with permission:	labels:An option would be to never feel bad about taking time away to help yourself!	episode_done:True
text:Advise without permission:drink lots of water!!! Advise with permission:	labels:Perhaps you can drink lots of water!!!	episode_done:True
text:Advise without permission:think to yourself, watching tv makes me happy. Advise with permission:	labels:I encourage you to think to yourself, watching tv makes me happy.	episode_done:True
text:Advise without permission:reach out to your friends. Advise with permission:	labels:It would be a good idea to reach out to your friends.	episode_done:True
text:Advise without permission:thank god you are done with him. Advise with permission:	labels:I wonder if you can thank god you are done with him.	episode_done:True
text:Advise without permission:If you dont have anyone like that, find some in the meantime while you also seek out therapy. Advise with permission:	labels:You can suggest that she enter counseling or therapy.	episode_done:True
text:Advise without permission:try a new hobby so your mind is focused somewhere else! Advise with permission:	labels:It would be a good idea to try a new hobby so your mind is focused somewhere else!	episode_done:True
text:Advise without permission:You can write phrases, cut out words from a magazine, draw how you feel, etc. Advise with permission:	labels:Maybe it is important to write phrases, cut out words from a magazine, draw how you feel, etc.	episode_done:True
text:Advise without permission:If that doesn't work, talk to a school counselor. Advise with permission:	labels:Another idea is to chat with a counselor, if you are interested.	episode_done:True
text:Advise without permission:seek help before it’s too late. Advise with permission:	labels:I encourage you to seek help before it’s too late.	episode_done:True
text:Advise without permission:try to celebrate the little victories. Advise with permission:	labels:I would encourage you to try to celebrate the little victories.	episode_done:True
text:Advise without permission:act as though you were that person. Advise with permission:	labels:I wonder if you can act as though you were that person.	episode_done:True
text:Advise without permission:put your energy into moving your own life into the direction you want. Advise with permission:	labels:It would be a good idea to put your energy into moving your own life into the direction you want.	episode_done:True
text:Advise without permission:If you can go in with an open mind you'll meet a lot of good people and find a support network. Advise with permission:	labels:In addition to being open to meeting new friends, involve yourself in projects from which you'll feel satisfied by your own results.	episode_done:True
text:Advise without permission:embrace those emotions you have. Advise with permission:	labels:I encourage you to embrace those emotions you have.	episode_done:True
text:Advise without permission:You could offer to collect your desk and chair or ask to expense a new one. Advise with permission:	labels:It maybe helpful to offer to collect your desk and chair or ask to expense a new one.	episode_done:True
text:Advise without permission:choose what you want but never make a choice based on fear. Advise with permission:	labels:It maybe helpful to choose what you want but never make a choice based on fear.	episode_done:True
text:Advise without permission:take that alcohol and save it for a bbq or good football game. Advise with permission:	labels:Perhaps you can take that alcohol and save it for a bbq or good football game.	episode_done:True
text:Advise without permission:take a deep breath and realize that is the reason the pics are up is for people to 'like' them. Advise with permission:	labels:I encourage you to take a deep breath and realize that is the reason the pics are up is for people to 'like' them.	episode_done:True
text:Advise without permission:You could also try rubbing your thumb up and down the inside of your forearm or on your palm. Advise with permission:	labels:It would be a good idea to also try rubbing your thumb up and down the inside of your forearm or on your palm.	episode_done:True
text:Advise without permission:I'm willing to talk if you want, but please get a doctor. Advise with permission:	labels:I need you to either talk to me about what's happening, or please go see a doctor.	episode_done:True
text:Advise without permission:If you can find it in your area, I recommend getting some therapy for PTSD. Advise with permission:	labels:If this is the case I strongly recommend individual therapy to begin working through some of these issues.	episode_done:True
text:Advise without permission:give it like a year and you'll be fully transformed. Advise with permission:	labels:It may be important to give it like a year and you'll be fully transformed.	episode_done:True
text:Advise without permission:try limiting your screen time in your phone settings and just step away from the black mirror for a while Advise with permission:	labels:An option would be to try limiting your screen time in your phone settings and just step away from the black mirror for a while	episode_done:True
text:Advise without permission:keep looking at that light! Advise with permission:	labels:It may be important to keep looking at that light!	episode_done:True
text:Advise without permission:I just mean keep trying to get a hold of the therapist and if no response contact other facilities to try and set up an appointment. Advise with permission:	labels:I encourage you to meet with a therapist and ask them how they might be able to help you.	episode_done:True
text:Advise without permission:tell your doctor/ nurse / shaman and they can probably just up the dosage of medication or put u on some Advise with permission:	labels:I would encourage you to tell your doctor/ nurse / shaman and they can probably just up the dosage of medication or put u on some	episode_done:True
text:Advise without permission:You could go to college or community college. Advise with permission:	labels:You may want to go to college or community college.	episode_done:True
text:Advise without permission:if you are really suicidal i think you should try to go to a hospital, your safety is  important Advise with permission:	labels:Anytime sadness causes thoughts of suicide or self harm, it is important to get help immediately.	episode_done:True
